Subject,Course ,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Year,Term,Course Subject,Course Number,Course Section,Sched Type,A Range,B Range,C Range,D Range,Course,Section
ACCY,,30296,Accounting Control Systems,0,14,3,7,6,3,0,1,0,0,0,0,0,0,3.48,"Wang, Wei",2020,SPRING,,,,LCD,,,,,304,
ACCY,,30299,Accounting Control Systems,0,6,7,8,6,0,3,3,1,0,0,0,0,0,3.21,"Wang, Wei",2020,SPRING,,,,LCD,,,,,304,
ACCY,,30334,Principles of Taxation,0,5,2,7,5,1,2,2,0,0,0,0,0,0,3.21,"Hutchens, Michelle L",2020,SPRING,,,,LCD,,,,,312,
ACCY,,30335,Principles of Taxation,0,7,6,2,4,1,2,1,0,0,0,0,0,0,3.39,"Hutchens, Michelle L",2020,SPRING,,,,LCD,,,,,312,
ACCY,,30336,Principles of Taxation,0,12,0,0,4,0,0,4,0,0,0,0,1,0,3.24,"Holder, Daniel E",2020,SPRING,,,,LCD,,,,,312,
ACCY,,39460,Principles of Taxation,0,9,5,2,4,0,2,1,0,0,0,0,0,0,3.46,"Hutchens, Michelle L",2020,SPRING,,,,LCD,,,,,312,
ACCY,,48959,Principles of Taxation,0,10,0,0,9,0,0,2,0,0,0,0,0,0,3.38,"Holder, Charles B",2020,SPRING,,,,LCD,,,,,312,
ACCY,,56978,Principles of Taxation,0,12,0,0,9,0,0,3,0,0,0,0,0,0,3.38,"Holder, Daniel E",2020,SPRING,,,,LCD,,,,,312,
ACCY,,30412,Practical Problems in Atg,91,3,2,1,0,0,0,4,0,0,0,0,0,0,3.91,"Nekrasz, Frank",2020,SPRING,,,,ONL,,,,,398,
ACCY,,63823,Practical Problems in Atg,54,9,2,0,1,0,0,0,0,0,0,0,0,0,3.97,"Nekrasz, Frank",2020,SPRING,,,,ONL,,,,,398,
ACCY,,30311,Assurance and Attestation,0,2,4,6,6,2,1,1,0,0,0,0,0,0,3.2,"Lullo, Michael J",2020,SPRING,,,,LCD,,,,,405,
ACCY,,60044,Advanced Financial Reporting,1,8,3,6,3,1,2,1,1,0,0,0,0,0,3.36,"Chen, Ciao-Wei",2020,SPRING,,,,LCD,,,,,410,
ACCY,,60045,Advanced Financial Reporting,1,5,3,1,4,4,4,1,0,0,0,0,0,0,3.16,"Kustanovich, Michael",2020,SPRING,,,,LCD,,,,,410,
ACCY,,61733,Advanced Financial Reporting,1,5,1,5,5,4,1,0,1,0,0,0,0,0,3.22,"Chen, Ciao-Wei",2020,SPRING,,,,LCD,,,,,410,
ACCY,,61734,Advanced Financial Reporting,1,8,4,0,8,2,0,0,1,0,0,0,0,0,3.41,"Chen, Ciao-Wei",2020,SPRING,,,,LCD,,,,,410,
ACCY,,61758,Advanced Financial Reporting,6,5,2,3,4,4,2,0,0,0,0,0,0,0,3.42,"Steward, Cynthia G",2020,SPRING,,,,LCD,,,,,410,
ACCY,,61759,Advanced Financial Reporting,6,7,1,0,7,0,0,1,0,1,0,1,0,0,3.38,"Steward, Cynthia G",2020,SPRING,,,,LCD,,,,,410,
ACCY,,63503,Auditing Stds and Practice,0,20,8,2,2,0,1,2,0,0,0,0,0,0,3.67,"Ciconte, William",2020,SPRING,,,,LCD,,,,,415,
ACCY,,65157,Auditing Stds and Practice,0,8,4,1,4,3,3,3,3,1,1,0,0,0,2.91,"Ciconte, William",2020,SPRING,,,,LCD,,,,,415,
ACCY,,65158,Auditing Stds and Practice,0,17,9,5,2,1,0,0,0,0,0,0,1,0,3.61,"Ciconte, William",2020,SPRING,,,,LCD,,,,,415,
ACCY,,65159,Auditing Stds and Practice,1,19,4,5,3,0,0,1,2,0,0,0,0,0,3.59,"Kink, Dawn M",2020,SPRING,,,,LCD,,,,,415,
ACCY,,61737,Advanced Income Tax Problems,2,12,4,1,4,2,1,0,0,0,0,0,0,0,3.59,"Donohoe, Michael P",2020,SPRING,,,,LCD,,,,,451,
ACCY,,61739,Advanced Income Tax Problems,0,17,0,0,8,0,0,3,1,0,0,0,0,0,3.43,"Holder, Charles B",2020,SPRING,,,,LCD,,,,,451,
ACCY,,61743,Advanced Income Tax Problems,11,1,1,3,3,1,1,1,0,0,0,0,0,0,3.55,"Alt, Amanda J",2020,SPRING,,,,LCD,,,,,451,
ACCY,,65160,Advanced Income Tax Problems,0,20,0,0,8,0,0,1,1,0,0,0,0,0,3.59,"Holder, Charles B",2020,SPRING,,,,LCD,,,,,451,
ACCY,,68843,Advanced Income Tax Problems,1,10,5,4,5,2,1,0,0,0,0,0,0,0,3.52,"Hutchens, Matthew",2020,SPRING,,,,LCD,,,,,451,
ACCY,,67786,"Atg Measuremnt, Rpting & Cntrl",67,66,72,21,25,12,0,0,0,0,0,0,2,2,3.67,"Urcan, Oktay",2020,SPRING,,,,ONL,,,,,500,
ACCY,,68872,Accounting Analysis I A,9,28,19,12,9,6,1,3,0,0,1,0,1,0,3.48,"Augusto Sampaio, Gerlando",2020,SPRING,,,,ONL,,,,,501,
ACCY,,70641,Accounting Analysis I B,14,25,19,10,9,4,1,1,0,0,0,0,1,2,3.58,"Augusto Sampaio, Gerlando",2020,SPRING,,,,ONL,,,,,501,
ACCY,,68874,Accounting Analysis I A,2,5,4,3,6,1,1,1,0,1,1,0,0,0,3.2,"Augusto Sampaio, Gerlando",2020,SPRING,,,,ONL,,,,,501,
ACCY,,70675,Accounting Analysis I B,2,3,6,5,2,1,0,0,1,0,1,0,1,1,3.18,"Augusto Sampaio, Gerlando",2020,SPRING,,,,ONL,,,,,501,
ACCY,,67590,Accounting Analysis II A,1,38,39,24,10,10,9,3,0,1,2,0,3,1,3.33,"Ibrahim, Adel Nematallah",2020,SPRING,,,,ONL,,,,,502,
ACCY,,70676,Accounting Analysis II B,1,45,9,16,27,7,10,7,6,0,4,0,0,1,3.19,"Ibrahim, Adel Nematallah",2020,SPRING,,,,ONL,,,,,502,
ACCY,,44637,Managerial Accounting,1,12,9,3,4,2,0,0,0,0,0,0,0,0,3.62,"Curtis, Susan M",2020,SPRING,,,,LCD,,,,,503,
ACCY,,67610,Managerial Accounting A,11,64,20,18,13,7,2,0,0,0,0,0,0,1,3.67,"Hecht, Gary W",2020,SPRING,,,,ONL,,,,,503,
ACCY,,70678,Managerial Accounting B,24,65,18,9,10,5,2,0,1,0,0,0,0,0,3.74,"Hecht, Gary W",2020,SPRING,,,,ONL,,,,,503,
ACCY,,69063,Managerial Accounting,39,143,114,86,100,29,13,0,0,0,0,0,0,0,3.51,"Hecht, Gary W",2020,SPRING,,,,ONL,,,,,503,
ACCY,,30419,Auditing,0,29,6,3,0,0,0,0,0,0,0,0,0,0,3.9,"Chatterton, Angel",2020,SPRING,,,,LCD,,,,,504,
ACCY,,30426,Auditing,1,36,0,1,0,0,0,0,0,0,0,0,0,0,3.98,"Chatterton, Angel",2020,SPRING,,,,LCD,,,,,504,
ACCY,,58670,Auditing,0,30,2,1,0,0,0,0,0,0,0,0,0,0,3.96,"Chatterton, Angel",2020,SPRING,,,,LCD,,,,,504,
